iter	Passed	Remaining
425	1999	2694
426	2004	2689
427	2009	2685
428	2013	2680
429	2018	2675
430	2022	2670
431	2027	2665
432	2031	2660
433	2036	2656
434	2042	2652
435	2046	2647
436	2051	2643
437	2056	2638
438	2061	2634
439	2066	2629
440	2070	2624
441	2075	2620
442	2080	2615
443	2085	2611
444	2089	2605
445	2094	2601
446	2098	2596
447	2103	2591
448	2107	2586
449	2112	2582
450	2117	2577
451	2122	2573
452	2127	2568
453	2131	2563
454	2136	2558
455	2141	2554
456	2146	2550
457	2150	2545
458	2155	2541
459	2160	2536
460	2165	2531
461	2170	2527
462	2174	2522
463	2179	2517
464	2184	2512
465	2189	2508
466	2193	2503
467	2198	2498
468	2203	2494
469	2208	2489
470	2212	2485
471	2217	2480
472	2221	2475
473	2225	2469
474	2229	2464
475	2234	2460
476	2239	2455
477	2244	2451
478	2249	2446
479	2253	2441
480	2258	2436
481	2262	2431
482	2267	2426
483	2271	2421
484	2276	2416
485	2281	2412
486	2285	2407
487	2290	2403
488	2295	2399
489	2300	2394
490	2305	2390
491	2309	2384
492	2313	2379
493	2319	2375
494	2323	2370
495	2328	2365
496	2333	2361
497	2339	2357
498	2343	2353
499	2349	2349
500	2354	2345
501	2359	2340
502	2364	2335
503	2369	2331
504	2373	2326
505	2378	2322
506	2383	2317
507	2388	2313
508	2393	2308
509	2398	2304
510	2402	2299
511	2407	2294
512	2411	2289
513	2416	2285
514	2421	2280
515	2426	2275
516	2431	2271
517	2435	2266
518	2440	2261
519	2444	2256
520	2449	2252
521	2454	2247
522	2458	2242
523	2463	2237
524	2467	2232
525	2472	2228
526	2477	2223
527	2482	2219
528	2487	2214
529	2491	2209
530	2496	2204
531	2500	2199
532	2505	2194
533	2509	2190
534	2514	2185
535	2519	2180
536	2523	2175
537	2528	2170
538	2532	2166
539	2537	2161
540	2542	2157
541	2547	2153
542	2552	2148
543	2557	2143
544	2562	2139
545	2567	2134
546	2572	2130
547	2576	2125
548	2581	2120
549	2586	2115
550	2590	2111
551	2595	2106
552	2599	2101
553	2603	2096
554	2607	2090
555	2611	2085
556	2615	2080
557	2619	2075
558	2624	2070
559	2628	2064
560	2632	2059
561	2636	2054
562	2640	2049
563	2645	2044
564	2649	2039
565	2653	2034
566	2657	2029
567	2661	2024
568	2665	2019
569	2670	2014
570	2674	2009
571	2678	2004
572	2682	1999
573	2686	1994
574	2690	1988
575	2695	1983
576	2699	1978
577	2703	1973
578	2708	1969
579	2713	1964
580	2718	1960
581	2723	1955
582	2728	1951
583	2733	1946
584	2738	1942
585	2743	1938
586	2749	1934
587	2754	1929
588	2759	1925
589	2764	1921
590	2769	1916
591	2774	1912
592	2780	1908
593	2785	1903
594	2790	1899
595	2795	1894
596	2800	1890
597	2806	1886
598	2811	1882
