iter	Logloss
0	0.679975494
1	0.6677551994
2	0.6566438328
3	0.6465486421
4	0.6371286413
5	0.6284342181
6	0.6203826566
7	0.6129836047
8	0.606097886
9	0.5999377238
10	0.5942114207
11	0.5888223556
12	0.5838422192
13	0.5794506799
14	0.5754094093
15	0.5716645272
16	0.5680493352
17	0.5647294852
18	0.5618310839
19	0.5591028697
20	0.5565546161
21	0.5541545333
22	0.5519800738
23	0.549922178
24	0.5480450717
25	0.5463035085
26	0.5447815929
27	0.5433429595
28	0.5419101347
29	0.5406747036
30	0.539521382
31	0.5383708872
32	0.5374135924
33	0.5364514737
34	0.5355685539
35	0.5347082467
36	0.533934163
37	0.5332139206
38	0.5325720271
39	0.5319570528
40	0.5313990954
41	0.5309111712
42	0.5303911306
43	0.5298952131
44	0.529484418
45	0.5291361789
46	0.528819674
47	0.5285400308
48	0.5282444023
49	0.5280074802
50	0.527724587
51	0.5275117417
52	0.5273254249
53	0.5271519637
54	0.5269730876
55	0.5267789286
56	0.526639897
57	0.5264619883
58	0.526294569
59	0.5261003356
60	0.5259483358
61	0.5258234613
62	0.5257129059
63	0.5255633055
64	0.5254759634
65	0.5253178486
66	0.5252192914
67	0.525156634
68	0.5250586223
69	0.5250099423
70	0.5249609315
71	0.5248773087
72	0.5247855706
73	0.5247250979
74	0.5246269975
75	0.5245492687
76	0.5244967801
77	0.5244710671
78	0.5243917836
79	0.5243123114
80	0.5242653483
81	0.5241862641
82	0.5241446749
83	0.5240821058
84	0.5240620017
85	0.5240103317
86	0.5239573844
87	0.5239091716
88	0.5238589188
89	0.5238235294
90	0.5238088853
91	0.5237716609
92	0.5237085851
93	0.5236881873
94	0.5236451458
95	0.5236144505
96	0.523595521
97	0.5235638244
98	0.5235394931
99	0.5235197765
100	0.5234785718
101	0.5234439152
102	0.5234063585
103	0.5233745103
104	0.5233132912
105	0.5232701895
106	0.5232595422
107	0.523218716
108	0.523189706
109	0.5231709484
110	0.5231546352
111	0.5231509883
112	0.5231427115
113	0.5231002728
114	0.5230777414
115	0.5230521146
116	0.5230216182
117	0.5230205585
118	0.5230028942
119	0.5229762819
120	0.5229687031
121	0.5229569211
122	0.5229528522
123	0.5229255109
124	0.5228993136
125	0.5228798997
126	0.522873243
127	0.5228696007
128	0.5228561479
129	0.5228254481
130	0.5227993117
131	0.5227818159
132	0.5227570019
133	0.5227432023
134	0.5227427301
135	0.5227324621
136	0.5227276052
137	0.5227054264
138	0.5226974938
139	0.5226597597
140	0.5226366617
141	0.5226198449
142	0.5225884747
143	0.5225827349
144	0.5225804386
145	0.5225799215
146	0.5225677983
147	0.5225566244
148	0.5225284576
149	0.5225130382
150	0.5224990777
151	0.5224961956
152	0.5224559262
153	0.5224324967
154	0.5224168318
155	0.5224118297
156	0.5224106944
157	0.5223908089
158	0.522359619
159	0.5223425768
160	0.5223202578
161	0.5223203157
162	0.5223073109
163	0.5222983983
164	0.5222980446
165	0.5222843104
166	0.5222725003
167	0.5222456256
168	0.5222240433
169	0.5222155474
170	0.5222133856
171	0.5222086876
172	0.5221942181
173	0.5221693311
174	0.5221457066
175	0.5221405053
176	0.52213235
177	0.5221172852
178	0.5221050772
179	0.5220847327
180	0.522067778
181	0.5220676646
182	0.5220653461
183	0.5220586871
184	0.5220470057
185	0.5220332656
186	0.5220052432
187	0.5220049246
188	0.5219972688
189	0.5219846549
190	0.5219846549
191	0.5219638042
192	0.52195437
193	0.5219323365
194	0.5219018113
195	0.5218904597
196	0.5218898983
197	0.5218890623
198	0.5218808001
199	0.5218806453
200	0.5218756095
201	0.5218735182
202	0.5218709813
203	0.5218656124
204	0.521850681
205	0.521833911
206	0.5218248596
207	0.5218249301
208	0.52181174
209	0.5218016897
210	0.5217902761
211	0.521778582
212	0.5217718891
213	0.5217690366
214	0.5217542822
215	0.5217385592
216	0.5217325135
217	0.521723324
218	0.5217209776
219	0.5217211913
220	0.5216937348
221	0.5216785195
222	0.5216732409
223	0.5216451474
224	0.5216382171
225	0.5216330515
226	0.5216167626
227	0.5216099467
228	0.521560351
229	0.5215583581
230	0.52154513
231	0.5215334516
232	0.5214976141
233	0.5214917817
234	0.5214818281
235	0.5214661123
236	0.5214611903
237	0.5214372021
238	0.5214305218
239	0.5214282186
240	0.5214106873
241	0.5214065803
242	0.5214050519
243	0.5214052716
244	0.5213727418
245	0.5213696891
246	0.5213546168
247	0.521338154
248	0.521325835
249	0.5213114845
250	0.5213001269
251	0.5212724148
252	0.5212688827
253	0.5212549849
254	0.5212035148
255	0.5212033957
256	0.5211780301
257	0.5211498152
258	0.5211247104
259	0.52110579
260	0.5210937376
261	0.5210921045
262	0.5210720156
263	0.5210512704
264	0.5210269063
265	0.5210212541
266	0.5210002772
267	0.5209802563
268	0.5209733925
269	0.5209657563
270	0.5209462231
271	0.5209359362
272	0.5209152725
273	0.5208983715
274	0.5208731721
275	0.520862525
276	0.5208310434
277	0.52081459
278	0.5207997502
279	0.5207784457
280	0.5207783909
281	0.5207629443
282	0.5207518499
283	0.5207330051
284	0.5206978858
285	0.5206795747
286	0.5206545079
287	0.5206432535
288	0.5206377126
289	0.5206254092
290	0.5206049894
291	0.5205607746
292	0.5205505429
293	0.5205370996
294	0.520525239
295	0.5205061512
296	0.5204868987
297	0.5204800687
298	0.5204493261
299	0.5204202592
300	0.5204081763
301	0.5203879831
302	0.5203683374
303	0.5203406578
304	0.5203028042
305	0.5202872646
306	0.520263587
307	0.5202384066
308	0.5202340872
309	0.5202100242
310	0.5201883693
311	0.520175551
312	0.5201413821
313	0.5201142983
314	0.5200843759
315	0.5200601042
316	0.5200301677
317	0.5200037646
318	0.519989238
319	0.5199774685
320	0.519941246
321	0.5199328386
322	0.5199187685
323	0.5198972347
324	0.519882816
325	0.5198606318
326	0.5198464189
327	0.5198204432
328	0.5198072828
329	0.519791679
330	0.5197690191
331	0.519753935
332	0.5197423633
333	0.5197118195
334	0.5196873999
335	0.5196609899
336	0.5196457245
337	0.5196338384
338	0.5196027305
339	0.5195921154
340	0.5195812733
341	0.5195715689
342	0.5195426288
343	0.5195230178
344	0.519510632
345	0.5194889325
346	0.5194802964
347	0.5194503824
348	0.5194224668
349	0.519395077
350	0.519388587
351	0.5193685475
352	0.5193419053
353	0.5193177328
354	0.5193054195
355	0.5192772129
356	0.5192556722
357	0.5192438783
358	0.5192352434
359	0.5192120312
360	0.5192018678
361	0.519183802
362	0.5191684712
363	0.5191514293
364	0.5191394613
365	0.5191284126
366	0.5191106135
367	0.5190942901
368	0.5190865905
369	0.5190724093
370	0.5190583185
371	0.5190463585
372	0.5190318648
373	0.5190208802
374	0.5190090451
375	0.5189887279
376	0.5189561845
377	0.518932171
378	0.5189172141
379	0.518909766
380	0.5188891806
381	0.5188785943
382	0.5188570984
383	0.5188250919
384	0.5187993559
385	0.5187543584
386	0.5187366806
387	0.5187260782
388	0.5187220445
389	0.5187030063
390	0.5186732455
391	0.5186574569
392	0.5186464709
393	0.5186301014
394	0.5186080378
395	0.5185933414
396	0.5185800755
397	0.5185621291
398	0.5185380906
399	0.518522604
400	0.5185062374
401	0.5184713822
402	0.5184632365
403	0.518443462
404	0.5184270295
405	0.5184210624
406	0.5183868651
407	0.5183602598
408	0.5183439515
409	0.5183273618
410	0.5183206121
411	0.518315745
412	0.5183004742
413	0.5182710149
414	0.5182659425
415	0.5182532525
416	0.518240682
417	0.5182305986
418	0.5182255287
419	0.5181980556
420	0.5181871061
421	0.5181796545
422	0.5181668583
423	0.5181435378
